electron fluxes
2530858.446756503 6975.9499357660325
388535.06879564846 3946.3898849027496
41230.83230896032 1604.3314904270583
64851.9970562102 1790.7475059144203
82072.83446206628 2118.2959163035507
18205.755022528792 1297.951850644579
2753241.4155466547 14819.80442864634
401257.8156987226 8511.997138183213
84710.84312045603 4621.011954228779
72255.0598299297 2024.1252710412507
97852.25335440903 2721.897936918229
32200.483660170117 2291.082530739165

photon fluxes
3777400.6668007504 113237.91379370152
579903.0877546992 18285.198198367103
61538.5556850154 3017.9817024727377
96794.02545703015 3936.00228687029
122496.76785383027 4833.92279933649
27172.76869034148 2100.198226496646
13214808.347748976 500702.6487489192
3761566.502401952 143046.29227412748
500522.6281330024 19786.695077205055
118320.00290572096 5058.338826643179
120993.99365846878 5499.057158549219
112986.3149224409 4963.432759348813
