X,Y,rX,rY,e,s_e
1406,570.0,45,43,2530858.446756503,6975.9499357660325
509.0,198.0,27,24,388535.06879564846,3946.3898849027496
1506.0,201.0,9,13,41230.83230896032,1604.3314904270583
959.0,887.0,14,10,64851.9970562102,1790.7475059144203
780.0,1251.0,14,14,82072.83446206628,2118.2959163035507
1896.0,151.0,7,10,18205.755022528792,1297.951850644579
1408.0,572.0,60,90,18205.755022528792,1297.951850644579
509.0,198.0,51,47,18205.755022528792,1297.951850644579
1508.0,190.0,22,38,18205.755022528792,1297.951850644579
960.0,888.0,15,12,18205.755022528792,1297.951850644579
786.0,1255.0,20,16,18205.755022528792,1297.951850644579
1901.0,142.0,15,13,18205.755022528792,1297.951850644579
